DimR	Embedding	Assay	G-protein	Layer	Score
PCA	shed	ebBRET	GoA	12	0.0
PCA	shed	ebBRET	GoA	14	0.0
PCA	shed	ebBRET	GoA	26	0.0
PCA	shed	ebBRET	GNAZ	15	0.094
PCA	shed	ebBRET	GNAZ	22	0.085
PCA	shed	ebBRET	GNAZ	19	0.064
PCA	shed	ebBRET	GNAZ	11	0.059
PCA	shed	ebBRET	GNAZ	18	0.059
PCA	shed	ebBRET	GNAZ	2	0.041
PCA	shed	ebBRET	GNAZ	12	0.036
PCA	shed	ebBRET	GNAZ	30	0.03
PCA	shed	ebBRET	GNAZ	14	0.026
PCA	shed	ebBRET	GNAZ	23	0.021
PCA	shed	ebBRET	GNAZ	32	0.02
PCA	shed	ebBRET	GNAZ	5	0.018
PCA	shed	ebBRET	GNAZ	0	0.012
PCA	shed	ebBRET	GNAZ	13	0.012
PCA	shed	ebBRET	GNAZ	25	0.012
PCA	shed	ebBRET	GNAZ	7	0.011
PCA	shed	ebBRET	GNAZ	17	0.011
PCA	shed	ebBRET	GNAZ	20	0.011
PCA	shed	ebBRET	GNAZ	21	0.011
PCA	shed	ebBRET	GNAZ	16	0.01
PCA	shed	ebBRET	GNAZ	3	0.009
PCA	shed	ebBRET	GNAZ	9	0.009
PCA	shed	ebBRET	GNAZ	27	0.009
PCA	shed	ebBRET	GNAZ	24	0.007
PCA	shed	ebBRET	GNAZ	29	0.006
PCA	shed	ebBRET	GNAZ	6	0.005
PCA	shed	ebBRET	GNAZ	10	0.004
PCA	shed	ebBRET	GNAZ	31	0.004
PCA	shed	ebBRET	GNAZ	33	0.004
PCA	shed	ebBRET	GNAZ	1	0.003
PCA	shed	ebBRET	GNAZ	8	0.001
PCA	shed	ebBRET	GNAZ	26	0.001
PCA	shed	ebBRET	GNAZ	4	0.0
PCA	shed	ebBRET	GNAZ	28	0.0
PCA	shed	ebBRET	GNAS	15	0.094
PCA	shed	ebBRET	GNAS	22	0.085
PCA	shed	ebBRET	GNAS	19	0.064
PCA	shed	ebBRET	GNAS	11	0.059
PCA	shed	ebBRET	GNAS	18	0.059
PCA	shed	ebBRET	GNAS	2	0.041
PCA	shed	ebBRET	GNAS	12	0.036
PCA	shed	ebBRET	GNAS	30	0.03
PCA	shed	ebBRET	GNAS	14	0.026
PCA	shed	ebBRET	GNAS	23	0.021
PCA	shed	ebBRET	GNAS	32	0.02
PCA	shed	ebBRET	GNAS	5	0.018
PCA	shed	ebBRET	GNAS	0	0.012
PCA	shed	ebBRET	GNAS	13	0.012
PCA	shed	ebBRET	GNAS	25	0.012
PCA	shed	ebBRET	GNAS	7	0.011
PCA	shed	ebBRET	GNAS	17	0.011
PCA	shed	ebBRET	GNAS	20	0.011
PCA	shed	ebBRET	GNAS	21	0.011
PCA	shed	ebBRET	GNAS	16	0.01
PCA	shed	ebBRET	GNAS	3	0.009
PCA	shed	ebBRET	GNAS	9	0.009
PCA	shed	ebBRET	GNAS	27	0.009
PCA	shed	ebBRET	GNAS	24	0.007
PCA	shed	ebBRET	GNAS	29	0.006
PCA	shed	ebBRET	GNAS	6	0.005
PCA	shed	ebBRET	GNAS	10	0.004
PCA	shed	ebBRET	GNAS	31	0.004
PCA	shed	ebBRET	GNAS	33	0.004
PCA	shed	ebBRET	GNAS	1	0.003
PCA	shed	ebBRET	GNAS	8	0.001
PCA	shed	ebBRET	GNAS	26	0.001
PCA	shed	ebBRET	GNAS	4	0.0
PCA	shed	ebBRET	GNAS	28	0.0
PCA	shed	ebBRET	GNAQ	15	0.094
PCA	shed	ebBRET	GNAQ	22	0.085
PCA	shed	ebBRET	GNAQ	19	0.064
PCA	shed	ebBRET	GNAQ	11	0.059
PCA	shed	ebBRET	GNAQ	18	0.059
PCA	shed	ebBRET	GNAQ	2	0.041
PCA	shed	ebBRET	GNAQ	12	0.036
PCA	shed	ebBRET	GNAQ	30	0.03
PCA	shed	ebBRET	GNAQ	14	0.026
PCA	shed	ebBRET	GNAQ	23	0.021
PCA	shed	ebBRET	GNAQ	32	0.02
PCA	shed	ebBRET	GNAQ	5	0.018
PCA	shed	ebBRET	GNAQ	0	0.012
PCA	shed	ebBRET	GNAQ	13	0.012
PCA	shed	ebBRET	GNAQ	25	0.012
PCA	shed	ebBRET	GNAQ	7	0.011
PCA	shed	ebBRET	GNAQ	17	0.011
PCA	shed	ebBRET	GNAQ	20	0.011
PCA	shed	ebBRET	GNAQ	21	0.011
PCA	shed	ebBRET	GNAQ	16	0.01
PCA	shed	ebBRET	GNAQ	3	0.009
PCA	shed	ebBRET	GNAQ	9	0.009
PCA	shed	ebBRET	GNAQ	27	0.009
PCA	shed	ebBRET	GNAQ	24	0.007
PCA	shed	ebBRET	GNAQ	29	0.006
PCA	shed	ebBRET	GNAQ	6	0.005
