DimR	Embedding	Assay	G-protein	Layer	Score
PCA	shed	Shedding	GNAS	9	0.007
PCA	shed	Shedding	GNAS	11	0.006
PCA	shed	Shedding	GNAS	10	0.005
PCA	shed	Shedding	GNAS	26	0.004
PCA	shed	Shedding	GNAS	28	0.004
PCA	shed	Shedding	GNAS	7	0.002
PCA	shed	Shedding	GNAS	18	0.002
PCA	shed	Shedding	GNAS	2	0.001
PCA	shed	Shedding	GNAS	13	0.001
PCA	shed	Shedding	GNAS	16	0.001
PCA	shed	Shedding	GNAS	27	0.001
PCA	shed	Shedding	GNAS	29	0.001
PCA	shed	Shedding	GNAS	0	0.0
PCA	shed	Shedding	GNAS	6	0.0
PCA	shed	Shedding	GNAS	31	0.0
PCA	shed	Shedding	GNAS	32	0.0
PCA	shed	Shedding	GNAQ	8	0.049
PCA	shed	Shedding	GNAQ	9	0.036
PCA	shed	Shedding	GNAQ	16	0.029
PCA	shed	Shedding	GNAQ	27	0.022
PCA	shed	Shedding	GNAQ	22	0.016
PCA	shed	Shedding	GNAQ	30	0.016
PCA	shed	Shedding	GNAQ	29	0.014
PCA	shed	Shedding	GNAQ	0	0.013
PCA	shed	Shedding	GNAQ	26	0.01
PCA	shed	Shedding	GNAQ	14	0.009
PCA	shed	Shedding	GNAQ	19	0.009
PCA	shed	Shedding	GNAQ	7	0.008
PCA	shed	Shedding	GNAQ	18	0.008
PCA	shed	Shedding	GNAQ	15	0.007
PCA	shed	Shedding	GNAQ	31	0.007
PCA	shed	Shedding	GNAQ	32	0.007
PCA	shed	Shedding	GNAQ	20	0.006
PCA	shed	Shedding	GNAQ	21	0.006
PCA	shed	Shedding	GNAQ	28	0.004
PCA	shed	Shedding	GNAQ	11	0.003
PCA	shed	Shedding	GNAQ	24	0.003
PCA	shed	Shedding	GNAQ	10	0.002
PCA	shed	Shedding	GNAQ	17	0.002
PCA	shed	Shedding	GNAQ	1	0.001
PCA	shed	Shedding	GNAQ	2	0.001
PCA	shed	Shedding	GNAQ	3	0.0
PCA	shed	Shedding	GNAQ	4	0.0
PCA	shed	Shedding	GNAQ	5	0.0
PCA	shed	Shedding	GNAQ	6	0.0
PCA	shed	Shedding	GNAQ	12	0.0
PCA	shed	Shedding	GNAQ	13	0.0
PCA	shed	Shedding	GNAQ	23	0.0
PCA	shed	Shedding	GNAQ	25	0.0
PCA	shed	Shedding	GNAQ	33	0.0
PCA	shed	Shedding	GNAL	15	0.052
PCA	shed	Shedding	GNAL	25	0.05
PCA	shed	Shedding	GNAL	30	0.047
PCA	shed	Shedding	GNAL	24	0.046
PCA	shed	Shedding	GNAL	8	0.036
PCA	shed	Shedding	GNAL	12	0.036
PCA	shed	Shedding	GNAL	19	0.032
PCA	shed	Shedding	GNAL	20	0.029
PCA	shed	Shedding	GNAL	17	0.024
PCA	shed	Shedding	GNAL	21	0.021
PCA	shed	Shedding	GNAL	14	0.018
PCA	shed	Shedding	GNAL	33	0.018
PCA	shed	Shedding	GNAL	23	0.015
PCA	shed	Shedding	GNAL	5	0.014
PCA	shed	Shedding	GNAL	22	0.012
PCA	shed	Shedding	GNAL	1	0.009
PCA	shed	Shedding	GNAL	4	0.009
PCA	shed	Shedding	GNAL	3	0.008
PCA	shed	Shedding	GNAL	9	0.007
PCA	shed	Shedding	GNAL	11	0.006
PCA	shed	Shedding	GNAL	10	0.005
PCA	shed	Shedding	GNAL	26	0.004
PCA	shed	Shedding	GNAL	28	0.004
PCA	shed	Shedding	GNAL	2	0.003
PCA	shed	Shedding	GNAL	7	0.002
PCA	shed	Shedding	GNAL	18	0.002
PCA	shed	Shedding	GNAL	13	0.001
PCA	shed	Shedding	GNAL	27	0.001
PCA	shed	Shedding	GNAL	29	0.001
PCA	shed	Shedding	GNAL	0	0.0
PCA	shed	Shedding	GNAL	6	0.0
PCA	shed	Shedding	GNAL	16	0.0
PCA	shed	Shedding	GNAL	31	0.0
PCA	shed	Shedding	GNAL	32	0.0
PCA	shed	Shedding	GNAI3	24	0.039
PCA	shed	Shedding	GNAI3	25	0.036
PCA	shed	Shedding	GNAI3	19	0.03
PCA	shed	Shedding	GNAI3	30	0.026
PCA	shed	Shedding	GNAI3	21	0.02
PCA	shed	Shedding	GNAI3	28	0.02
PCA	shed	Shedding	GNAI3	15	0.018
PCA	shed	Shedding	GNAI3	23	0.017
PCA	shed	Shedding	GNAI3	33	0.015
PCA	shed	Shedding	GNAI3	6	0.014
PCA	shed	Shedding	GNAI3	29	0.012
PCA	shed	Shedding	GNAI3	31	0.012
PCA	shed	Shedding	GNAI3	32	0.012
PCA	shed	Shedding	GNAI3	12	0.009
PCA	shed	Shedding	GNAI3	8	0.008
PCA	shed	Shedding	GNAI3	14	0.007
PCA	shed	Shedding	GNAI3	20	0.007
PCA	shed	Shedding	GNAI3	5	0.006
PCA	shed	Shedding	GNAI3	13	0.006
PCA	shed	Shedding	GNAI3	26	0.005
PCA	shed	Shedding	GNAI3	1	0.004
PCA	shed	Shedding	GNAI3	22	0.004
PCA	shed	Shedding	GNAI3	27	0.004
PCA	shed	Shedding	GNAI3	7	0.003
PCA	shed	Shedding	GNAI3	17	0.002
PCA	shed	Shedding	GNAI3	2	0.001
PCA	shed	Shedding	GNAI3	18	0.001
PCA	shed	Shedding	GNAI3	0	0.0
PCA	shed	Shedding	GNAI3	3	0.0
PCA	shed	Shedding	GNAI3	4	0.0
PCA	shed	Shedding	GNAI3	9	0.0
PCA	shed	Shedding	GNAI3	10	0.0
PCA	shed	Shedding	GNAI3	11	0.0
PCA	shed	Shedding	GNAI3	16	0.0
PCA	shed	Shedding	GNAI1	8	0.043
PCA	shed	Shedding	GNAI1	24	0.034
PCA	shed	Shedding	GNAI1	19	0.028
PCA	shed	Shedding	GNAI1	13	0.025
PCA	shed	Shedding	GNAI1	28	0.025
PCA	shed	Shedding	GNAI1	30	0.021
PCA	shed	Shedding	GNAI1	25	0.019
PCA	shed	Shedding	GNAI1	29	0.016
PCA	shed	Shedding	GNAI1	31	0.016
PCA	shed	Shedding	GNAI1	32	0.016
PCA	shed	Shedding	GNAI1	15	0.013
PCA	shed	Shedding	GNAI1	23	0.013
PCA	shed	Shedding	GNAI1	33	0.011
PCA	shed	Shedding	GNAI1	17	0.009
PCA	shed	Shedding	GNAI1	27	0.007
PCA	shed	Shedding	GNAI1	22	0.006
PCA	shed	Shedding	GNAI1	20	0.005
PCA	shed	Shedding	GNAI1	5	0.004
PCA	shed	Shedding	GNAI1	21	0.004
PCA	shed	Shedding	GNAI1	4	0.002
PCA	shed	Shedding	GNAI1	12	0.002
PCA	shed	Shedding	GNAI1	6	0.001
PCA	shed	Shedding	GNAI1	7	0.001
PCA	shed	Shedding	GNAI1	10	0.001
PCA	shed	Shedding	GNAI1	14	0.001
PCA	shed	Shedding	GNAI1	16	0.001
PCA	shed	Shedding	GNAI1	0	0.0
PCA	shed	Shedding	GNAI1	1	0.0
PCA	shed	Shedding	GNAI1	2	0.0
PCA	shed	Shedding	GNAI1	3	0.0
PCA	shed	Shedding	GNAI1	9	0.0
PCA	shed	Shedding	GNAI1	11	0.0
PCA	shed	Shedding	GNAI1	18	0.0
PCA	shed	Shedding	GNAI1	26	0.0
PCA	shed	Shedding	GNA15	22	0.054
PCA	shed	Shedding	GNA15	21	0.047
PCA	shed	Shedding	GNA15	20	0.046
PCA	shed	Shedding	GNA15	9	0.044
PCA	shed	Shedding	GNA15	23	0.041
PCA	shed	Shedding	GNA15	30	0.041
PCA	shed	Shedding	GNA15	28	0.036
PCA	shed	Shedding	GNA15	25	0.028
PCA	shed	Shedding	GNA15	33	0.028
PCA	shed	Shedding	GNA15	24	0.026
PCA	shed	Shedding	GNA15	19	0.024
PCA	shed	Shedding	GNA15	27	0.019
PCA	shed	Shedding	GNA15	16	0.018
PCA	shed	Shedding	GNA15	31	0.016
PCA	shed	Shedding	GNA15	32	0.016
PCA	shed	Shedding	GNA15	2	0.014
PCA	shed	Shedding	GNA15	10	0.013
PCA	shed	Shedding	GNA15	29	0.013
PCA	shed	Shedding	GNA15	8	0.012
PCA	shed	Shedding	GNA15	18	0.012
PCA	shed	Shedding	GNA15	5	0.011
PCA	shed	Shedding	GNA15	7	0.011
PCA	shed	Shedding	GNA15	11	0.011
PCA	shed	Shedding	GNA15	0	0.01
PCA	shed	Shedding	GNA15	26	0.01
PCA	shed	Shedding	GNA15	14	0.008
PCA	shed	Shedding	GNA15	13	0.004
PCA	shed	Shedding	GNA15	17	0.004
PCA	shed	Shedding	GNA15	4	0.003
PCA	shed	Shedding	GNA15	12	0.002
PCA	shed	Shedding	GNA15	15	0.002
PCA	shed	Shedding	GNA15	3	0.001
PCA	shed	Shedding	GNA15	1	0.0
PCA	shed	Shedding	GNA15	6	0.0
PCA	shed	Shedding	GNA14	8	0.03
PCA	shed	Shedding	GNA14	16	0.024
PCA	shed	Shedding	GNA14	9	0.017
PCA	shed	Shedding	GNA14	14	0.011
PCA	shed	Shedding	GNA14	6	0.01
PCA	shed	Shedding	GNA14	18	0.007
PCA	shed	Shedding	GNA14	26	0.007
PCA	shed	Shedding	GNA14	12	0.004
PCA	shed	Shedding	GNA14	19	0.004
PCA	shed	Shedding	GNA14	27	0.004
PCA	shed	Shedding	GNA14	3	0.003
PCA	shed	Shedding	GNA14	20	0.003
PCA	shed	Shedding	GNA14	25	0.003
PCA	shed	Shedding	GNA14	0	0.002
PCA	shed	Shedding	GNA14	1	0.002
PCA	shed	Shedding	GNA14	4	0.002
PCA	shed	Shedding	GNA14	5	0.002
PCA	shed	Shedding	GNA14	17	0.002
PCA	shed	Shedding	GNA14	31	0.002
PCA	shed	Shedding	GNA14	32	0.002
PCA	shed	Shedding	GNA14	33	0.002
PCA	shed	Shedding	GNA14	11	0.001
PCA	shed	Shedding	GNA14	22	0.001
PCA	shed	Shedding	GNA14	24	0.001
PCA	shed	Shedding	GNA14	29	0.001
PCA	shed	Shedding	GNA14	2	0.0
PCA	shed	Shedding	GNA14	7	0.0
PCA	shed	Shedding	GNA14	10	0.0
PCA	shed	Shedding	GNA14	13	0.0
PCA	shed	Shedding	GNA14	15	0.0
PCA	shed	Shedding	GNA14	21	0.0
PCA	shed	Shedding	GNA14	23	0.0
PCA	shed	Shedding	GNA14	28	0.0
PCA	shed	Shedding	GNA14	30	0.0
PCA	shed	Shedding	GNA13	21	0.123
PCA	shed	Shedding	GNA13	20	0.082
PCA	shed	Shedding	GNA13	23	0.079
PCA	shed	Shedding	GNA13	22	0.06
PCA	shed	Shedding	GNA13	33	0.06
PCA	shed	Shedding	GNA13	18	0.055
PCA	shed	Shedding	GNA13	25	0.055
PCA	shed	Shedding	GNA13	30	0.053
PCA	shed	Shedding	GNA13	24	0.049
PCA	shed	Shedding	GNA13	9	0.04
PCA	shed	Shedding	GNA13	28	0.035
PCA	shed	Shedding	GNA13	16	0.03
PCA	shed	Shedding	GNA13	19	0.029
PCA	shed	Shedding	GNA13	29	0.025
PCA	shed	Shedding	GNA13	10	0.021
PCA	shed	Shedding	GNA13	27	0.021
PCA	shed	Shedding	GNA13	31	0.021
PCA	shed	Shedding	GNA13	32	0.021
PCA	shed	Shedding	GNA13	26	0.02
PCA	shed	Shedding	GNA13	8	0.012
PCA	shed	Shedding	GNA13	13	0.012
PCA	shed	Shedding	GNA13	0	0.011
PCA	shed	Shedding	GNA13	15	0.01
PCA	shed	Shedding	GNA13	2	0.009
PCA	shed	Shedding	GNA13	11	0.006
PCA	shed	Shedding	GNA13	14	0.003
PCA	shed	Shedding	GNA13	7	0.002
PCA	shed	Shedding	GNA13	1	0.001
PCA	shed	Shedding	GNA13	5	0.001
PCA	shed	Shedding	GNA13	17	0.001
PCA	shed	Shedding	GNA13	3	0.0
PCA	shed	Shedding	GNA13	4	0.0
PCA	shed	Shedding	GNA13	6	0.0
PCA	shed	Shedding	GNA13	12	0.0
PCA	shed	Shedding	GNA12	20	0.076
PCA	shed	Shedding	GNA12	23	0.074
PCA	shed	Shedding	GNA12	21	0.072
PCA	shed	Shedding	GNA12	19	0.062
PCA	shed	Shedding	GNA12	28	0.057
PCA	shed	Shedding	GNA12	22	0.053
PCA	shed	Shedding	GNA12	24	0.052
PCA	shed	Shedding	GNA12	30	0.05
PCA	shed	Shedding	GNA12	25	0.048
PCA	shed	Shedding	GNA12	33	0.045
PCA	shed	Shedding	GNA12	11	0.036
PCA	shed	Shedding	GNA12	29	0.036
PCA	shed	Shedding	GNA12	31	0.036
PCA	shed	Shedding	GNA12	32	0.036
PCA	shed	Shedding	GNA12	26	0.034
PCA	shed	Shedding	GNA12	27	0.027
PCA	shed	Shedding	GNA12	0	0.019
PCA	shed	Shedding	GNA12	15	0.017
PCA	shed	Shedding	GNA12	1	0.014
PCA	shed	Shedding	GNA12	12	0.014
PCA	shed	Shedding	GNA12	7	0.012
PCA	shed	Shedding	GNA12	16	0.012
PCA	shed	Shedding	GNA12	14	0.011
PCA	shed	Shedding	GNA12	9	0.009
PCA	shed	Shedding	GNA12	18	0.008
PCA	shed	Shedding	GNA12	6	0.005
PCA	shed	Shedding	GNA12	13	0.005
PCA	shed	Shedding	GNA12	2	0.003
PCA	shed	Shedding	GNA12	8	0.002
PCA	shed	Shedding	GNA12	17	0.002
PCA	shed	Shedding	GNA12	5	0.001
PCA	shed	Shedding	GNA12	10	0.001
PCA	shed	Shedding	GNA12	3	0.0
PCA	shed	Shedding	GNA12	4	0.0
PCA	shed	STRING	Barr2-GRK2	3	0.085
PCA	shed	STRING	Barr2-GRK2	23	0.037
PCA	shed	STRING	Barr2-GRK2	6	0.019
PCA	shed	STRING	Barr2-GRK2	16	0.013
PCA	shed	STRING	Barr2-GRK2	17	0.013
PCA	shed	STRING	Barr2-GRK2	32	0.013
PCA	shed	STRING	Barr2-GRK2	22	0.011
PCA	shed	STRING	Barr2-GRK2	26	0.01
PCA	shed	STRING	Barr2-GRK2	24	0.009
PCA	shed	STRING	Barr2-GRK2	25	0.009
PCA	shed	STRING	Barr2-GRK2	27	0.009
PCA	shed	STRING	Barr2-GRK2	31	0.009
PCA	shed	STRING	Barr2-GRK2	0	0.005
PCA	shed	STRING	Barr2-GRK2	7	0.005
PCA	shed	STRING	Barr2-GRK2	8	0.005
PCA	shed	STRING	Barr2-GRK2	9	0.005
PCA	shed	STRING	Barr2-GRK2	10	0.005
PCA	shed	STRING	Barr2-GRK2	11	0.005
PCA	shed	STRING	Barr2-GRK2	12	0.005
PCA	shed	STRING	Barr2-GRK2	13	0.005
PCA	shed	STRING	Barr2-GRK2	14	0.005
PCA	shed	STRING	Barr2-GRK2	15	0.005
PCA	shed	STRING	Barr2-GRK2	19	0.005
PCA	shed	STRING	Barr2-GRK2	20	0.005
PCA	shed	STRING	Barr2-GRK2	21	0.005
PCA	shed	STRING	Barr2-GRK2	1	0.003
PCA	shed	STRING	Barr2-GRK2	2	0.003
PCA	shed	STRING	Barr2-GRK2	5	0.003
PCA	shed	STRING	Barr2-GRK2	4	0.002
PCA	shed	STRING	Barr2-GRK2	28	0.002
PCA	shed	STRING	Barr2-GRK2	18	0.001
PCA	shed	STRING	Barr2-GRK2	29	0.0
PCA	shed	STRING	Barr2-GRK2	30	0.0
PCA	shed	STRING	Barr2-GRK2	33	0.0
PCA	shed	STRING	Barr2	3	0.085
PCA	shed	STRING	Barr2	23	0.037
PCA	shed	STRING	Barr2	6	0.019
PCA	shed	STRING	Barr2	16	0.013
PCA	shed	STRING	Barr2	17	0.013
PCA	shed	STRING	Barr2	32	0.013
PCA	shed	STRING	Barr2	22	0.011
PCA	shed	STRING	Barr2	26	0.01
PCA	shed	STRING	Barr2	24	0.009
PCA	shed	STRING	Barr2	25	0.009
PCA	shed	STRING	Barr2	27	0.009
PCA	shed	STRING	Barr2	31	0.009
PCA	shed	STRING	Barr2	0	0.005
PCA	shed	STRING	Barr2	7	0.005
PCA	shed	STRING	Barr2	8	0.005
PCA	shed	STRING	Barr2	9	0.005
PCA	shed	STRING	Barr2	10	0.005
PCA	shed	STRING	Barr2	11	0.005
PCA	shed	STRING	Barr2	12	0.005
PCA	shed	STRING	Barr2	13	0.005
PCA	shed	STRING	Barr2	14	0.005
PCA	shed	STRING	Barr2	15	0.005
PCA	shed	STRING	Barr2	19	0.005
PCA	shed	STRING	Barr2	20	0.005
PCA	shed	STRING	Barr2	21	0.005
PCA	shed	STRING	Barr2	1	0.003
PCA	shed	STRING	Barr2	2	0.003
PCA	shed	STRING	Barr2	5	0.003
PCA	shed	STRING	Barr2	4	0.002
PCA	shed	STRING	Barr2	28	0.002
PCA	shed	STRING	Barr2	18	0.001
PCA	shed	STRING	Barr2	29	0.0
PCA	shed	STRING	Barr2	30	0.0
PCA	shed	STRING	Barr2	33	0.0
PCA	shed	STRING	Barr1-GRK2	6	0.232
PCA	shed	STRING	Barr1-GRK2	23	0.149
PCA	shed	STRING	Barr1-GRK2	24	0.122
PCA	shed	STRING	Barr1-GRK2	25	0.122
PCA	shed	STRING	Barr1-GRK2	27	0.122
PCA	shed	STRING	Barr1-GRK2	31	0.122
PCA	shed	STRING	Barr1-GRK2	7	0.068
PCA	shed	STRING	Barr1-GRK2	8	0.068
PCA	shed	STRING	Barr1-GRK2	9	0.068
PCA	shed	STRING	Barr1-GRK2	10	0.068
PCA	shed	STRING	Barr1-GRK2	11	0.068
PCA	shed	STRING	Barr1-GRK2	12	0.068
PCA	shed	STRING	Barr1-GRK2	13	0.068
PCA	shed	STRING	Barr1-GRK2	14	0.068
PCA	shed	STRING	Barr1-GRK2	15	0.068
PCA	shed	STRING	Barr1-GRK2	19	0.068
PCA	shed	STRING	Barr1-GRK2	20	0.068
PCA	shed	STRING	Barr1-GRK2	21	0.068
PCA	shed	STRING	Barr1-GRK2	5	0.053
PCA	shed	STRING	Barr1-GRK2	18	0.051
PCA	shed	STRING	Barr1-GRK2	3	0.038
PCA	shed	STRING	Barr1-GRK2	16	0.035
PCA	shed	STRING	Barr1-GRK2	17	0.035
PCA	shed	STRING	Barr1-GRK2	28	0.035
PCA	shed	STRING	Barr1-GRK2	32	0.035
PCA	shed	STRING	Barr1-GRK2	29	0.019
PCA	shed	STRING	Barr1-GRK2	30	0.019
PCA	shed	STRING	Barr1-GRK2	33	0.019
PCA	shed	STRING	Barr1-GRK2	0	0.008
PCA	shed	STRING	Barr1-GRK2	22	0.006
PCA	shed	STRING	Barr1-GRK2	2	0.004
PCA	shed	STRING	Barr1-GRK2	26	0.004
PCA	shed	STRING	Barr1-GRK2	1	0.0
PCA	shed	STRING	Barr1-GRK2	4	0.0
PCA	shed	IUPHAR	GoB	2	0.033
PCA	shed	IUPHAR	GoB	28	0.023
PCA	shed	IUPHAR	GoB	4	0.02
PCA	shed	IUPHAR	GoB	21	0.016
PCA	shed	IUPHAR	GoB	26	0.016
PCA	shed	IUPHAR	GoB	27	0.015
PCA	shed	IUPHAR	GoB	32	0.011
PCA	shed	IUPHAR	GoB	29	0.01
PCA	shed	IUPHAR	GoB	16	0.009
PCA	shed	IUPHAR	GoB	8	0.008
PCA	shed	IUPHAR	GoB	20	0.008
PCA	shed	IUPHAR	GoB	30	0.008
PCA	shed	IUPHAR	GoB	15	0.006
PCA	shed	IUPHAR	GoB	0	0.004
PCA	shed	IUPHAR	GoB	22	0.004
PCA	shed	IUPHAR	GoB	3	0.003
PCA	shed	IUPHAR	GoB	24	0.003
PCA	shed	IUPHAR	GoB	31	0.003
PCA	shed	IUPHAR	GoB	6	0.002
PCA	shed	IUPHAR	GoB	19	0.002
PCA	shed	IUPHAR	GoB	23	0.002
PCA	shed	IUPHAR	GoB	25	0.002
PCA	shed	IUPHAR	GoB	5	0.001
PCA	shed	IUPHAR	GoB	7	0.001
PCA	shed	IUPHAR	GoB	10	0.001
PCA	shed	IUPHAR	GoB	13	0.001
PCA	shed	IUPHAR	GoB	1	0.0
PCA	shed	IUPHAR	GoB	9	0.0
PCA	shed	IUPHAR	GoB	11	0.0
PCA	shed	IUPHAR	GoB	12	0.0
PCA	shed	IUPHAR	GoB	14	0.0
PCA	shed	IUPHAR	GoB	17	0.0
PCA	shed	IUPHAR	GoB	18	0.0
PCA	shed	IUPHAR	GoB	33	0.0
PCA	shed	IUPHAR	GoA	2	0.033
PCA	shed	IUPHAR	GoA	28	0.023
PCA	shed	IUPHAR	GoA	4	0.02
PCA	shed	IUPHAR	GoA	21	0.016
PCA	shed	IUPHAR	GoA	26	0.016
PCA	shed	IUPHAR	GoA	27	0.015
PCA	shed	IUPHAR	GoA	32	0.011
PCA	shed	IUPHAR	GoA	29	0.01
PCA	shed	IUPHAR	GoA	16	0.009
PCA	shed	IUPHAR	GoA	8	0.008
PCA	shed	IUPHAR	GoA	20	0.008
PCA	shed	IUPHAR	GoA	30	0.008
PCA	shed	IUPHAR	GoA	15	0.006
PCA	shed	IUPHAR	GoA	0	0.004
PCA	shed	IUPHAR	GoA	22	0.004
PCA	shed	IUPHAR	GoA	3	0.003
PCA	shed	IUPHAR	GoA	24	0.003
PCA	shed	IUPHAR	GoA	31	0.003
PCA	shed	IUPHAR	GoA	6	0.002
PCA	shed	IUPHAR	GoA	19	0.002
PCA	shed	IUPHAR	GoA	23	0.002
PCA	shed	IUPHAR	GoA	25	0.002
PCA	shed	IUPHAR	GoA	5	0.001
PCA	shed	IUPHAR	GoA	7	0.001
PCA	shed	IUPHAR	GoA	10	0.001
PCA	shed	IUPHAR	GoA	13	0.001
PCA	shed	IUPHAR	GoA	1	0.0
PCA	shed	IUPHAR	GoA	9	0.0
PCA	shed	IUPHAR	GoA	11	0.0
PCA	shed	IUPHAR	GoA	12	0.0
PCA	shed	IUPHAR	GoA	14	0.0
PCA	shed	IUPHAR	GoA	17	0.0
PCA	shed	IUPHAR	GoA	18	0.0
PCA	shed	IUPHAR	GoA	33	0.0
PCA	shed	IUPHAR	GNAZ	2	0.033
PCA	shed	IUPHAR	GNAZ	28	0.023
PCA	shed	IUPHAR	GNAZ	4	0.02
PCA	shed	IUPHAR	GNAZ	21	0.016
PCA	shed	IUPHAR	GNAZ	26	0.016
PCA	shed	IUPHAR	GNAZ	27	0.015
PCA	shed	IUPHAR	GNAZ	32	0.011
PCA	shed	IUPHAR	GNAZ	29	0.01
PCA	shed	IUPHAR	GNAZ	16	0.009
PCA	shed	IUPHAR	GNAZ	8	0.008
PCA	shed	IUPHAR	GNAZ	20	0.008
PCA	shed	IUPHAR	GNAZ	30	0.008
PCA	shed	IUPHAR	GNAZ	15	0.006
PCA	shed	IUPHAR	GNAZ	0	0.004
PCA	shed	IUPHAR	GNAZ	22	0.004
PCA	shed	IUPHAR	GNAZ	3	0.003
PCA	shed	IUPHAR	GNAZ	24	0.003
PCA	shed	IUPHAR	GNAZ	31	0.003
PCA	shed	IUPHAR	GNAZ	6	0.002
PCA	shed	IUPHAR	GNAZ	19	0.002
PCA	shed	IUPHAR	GNAZ	23	0.002
PCA	shed	IUPHAR	GNAZ	25	0.002
PCA	shed	IUPHAR	GNAZ	5	0.001
PCA	shed	IUPHAR	GNAZ	7	0.001
PCA	shed	IUPHAR	GNAZ	10	0.001
PCA	shed	IUPHAR	GNAZ	13	0.001
PCA	shed	IUPHAR	GNAZ	1	0.0
PCA	shed	IUPHAR	GNAZ	9	0.0
PCA	shed	IUPHAR	GNAZ	11	0.0
PCA	shed	IUPHAR	GNAZ	12	0.0
PCA	shed	IUPHAR	GNAZ	14	0.0
PCA	shed	IUPHAR	GNAZ	17	0.0
PCA	shed	IUPHAR	GNAZ	18	0.0
PCA	shed	IUPHAR	GNAZ	33	0.0
PCA	shed	IUPHAR	GNAS	2	0.041
PCA	shed	IUPHAR	GNAS	32	0.028
PCA	shed	IUPHAR	GNAS	19	0.025
PCA	shed	IUPHAR	GNAS	21	0.024
PCA	shed	IUPHAR	GNAS	8	0.022
PCA	shed	IUPHAR	GNAS	31	0.015
PCA	shed	IUPHAR	GNAS	13	0.014
PCA	shed	IUPHAR	GNAS	0	0.013
PCA	shed	IUPHAR	GNAS	28	0.013
PCA	shed	IUPHAR	GNAS	29	0.013
PCA	shed	IUPHAR	GNAS	17	0.012
PCA	shed	IUPHAR	GNAS	27	0.011
PCA	shed	IUPHAR	GNAS	10	0.01
PCA	shed	IUPHAR	GNAS	33	0.01
PCA	shed	IUPHAR	GNAS	7	0.007
PCA	shed	IUPHAR	GNAS	25	0.007
PCA	shed	IUPHAR	GNAS	26	0.007
PCA	shed	IUPHAR	GNAS	1	0.006
PCA	shed	IUPHAR	GNAS	11	0.006
PCA	shed	IUPHAR	GNAS	16	0.006
PCA	shed	IUPHAR	GNAS	9	0.004
PCA	shed	IUPHAR	GNAS	15	0.004
PCA	shed	IUPHAR	GNAS	22	0.004
PCA	shed	IUPHAR	GNAS	5	0.002
PCA	shed	IUPHAR	GNAS	6	0.002
PCA	shed	IUPHAR	GNAS	12	0.002
PCA	shed	IUPHAR	GNAS	24	0.002
PCA	shed	IUPHAR	GNAS	18	0.001
PCA	shed	IUPHAR	GNAS	3	0.0
PCA	shed	IUPHAR	GNAS	4	0.0
PCA	shed	IUPHAR	GNAS	14	0.0
PCA	shed	IUPHAR	GNAS	20	0.0
PCA	shed	IUPHAR	GNAS	23	0.0
PCA	shed	IUPHAR	GNAS	30	0.0
PCA	shed	IUPHAR	GNAQ	33	0.034
PCA	shed	IUPHAR	GNAQ	16	0.026
PCA	shed	IUPHAR	GNAQ	22	0.022
PCA	shed	IUPHAR	GNAQ	30	0.022
PCA	shed	IUPHAR	GNAQ	15	0.018
PCA	shed	IUPHAR	GNAQ	20	0.016
PCA	shed	IUPHAR	GNAQ	23	0.014
PCA	shed	IUPHAR	GNAQ	7	0.012
PCA	shed	IUPHAR	GNAQ	1	0.009
PCA	shed	IUPHAR	GNAQ	9	0.006
PCA	shed	IUPHAR	GNAQ	21	0.006
PCA	shed	IUPHAR	GNAQ	24	0.006
PCA	shed	IUPHAR	GNAQ	6	0.005
PCA	shed	IUPHAR	GNAQ	25	0.004
PCA	shed	IUPHAR	GNAQ	0	0.002
PCA	shed	IUPHAR	GNAQ	8	0.002
PCA	shed	IUPHAR	GNAQ	14	0.002
PCA	shed	IUPHAR	GNAQ	17	0.002
PCA	shed	IUPHAR	GNAQ	3	0.001
PCA	shed	IUPHAR	GNAQ	4	0.001
PCA	shed	IUPHAR	GNAQ	19	0.001
PCA	shed	IUPHAR	GNAQ	26	0.001
PCA	shed	IUPHAR	GNAQ	28	0.001
PCA	shed	IUPHAR	GNAQ	32	0.001
PCA	shed	IUPHAR	GNAQ	2	0.0
PCA	shed	IUPHAR	GNAQ	5	0.0
PCA	shed	IUPHAR	GNAQ	10	0.0
PCA	shed	IUPHAR	GNAQ	11	0.0
PCA	shed	IUPHAR	GNAQ	12	0.0
PCA	shed	IUPHAR	GNAQ	13	0.0
PCA	shed	IUPHAR	GNAQ	18	0.0
PCA	shed	IUPHAR	GNAQ	27	0.0
PCA	shed	IUPHAR	GNAQ	29	0.0
PCA	shed	IUPHAR	GNAQ	31	0.0
PCA	shed	IUPHAR	GNAL	2	0.041
PCA	shed	IUPHAR	GNAL	32	0.028
PCA	shed	IUPHAR	GNAL	19	0.025
PCA	shed	IUPHAR	GNAL	21	0.024
PCA	shed	IUPHAR	GNAL	8	0.022
PCA	shed	IUPHAR	GNAL	31	0.015
PCA	shed	IUPHAR	GNAL	13	0.014
PCA	shed	IUPHAR	GNAL	0	0.013
PCA	shed	IUPHAR	GNAL	28	0.013
PCA	shed	IUPHAR	GNAL	29	0.013
PCA	shed	IUPHAR	GNAL	17	0.012
PCA	shed	IUPHAR	GNAL	27	0.011
PCA	shed	IUPHAR	GNAL	10	0.01
PCA	shed	IUPHAR	GNAL	33	0.01
PCA	shed	IUPHAR	GNAL	7	0.007
PCA	shed	IUPHAR	GNAL	25	0.007
