Uniprot_acc	GPCR	Uniprot_id	class
P21453	S1PR1	S1PR1_HUMAN	classA
P49146	NPY2R	NPY2R_HUMAN	classA
Q9UPC5	GPR34	GPR34_HUMAN	classA
Q9UNW8	GPR132	GP132_HUMAN	classA
P35414	APLNR	APJ_HUMAN	classA
P41145	OPRK1	OPRK_HUMAN	classA
P32248	CCR7	CCR7_HUMAN	classA
Q99500	S1PR3	S1PR3_HUMAN	classA
P28221	HTR1D	5HT1D_HUMAN	classA
P41231	P2RY2	P2RY2_HUMAN	classA
Q9NS67	GPR27	GPR27_HUMAN	classA
P50391	NPY4R	NPY4R_HUMAN	classA
Q99527	GPER1	GPER1_HUMAN	classA
Q96G91	P2RY11	P2Y11_HUMAN	classA
P51684	CCR6	CCR6_HUMAN	classA
Q8TDU9	RXFP4	RL3R2_HUMAN	classA
P41597	CCR2	CCR2_HUMAN	classA
O00254	F2RL2	PAR3_HUMAN	classA
Q9NS66	GPR173	GP173_HUMAN	classA
P47900	P2RY1	P2RY1_HUMAN	classA
Q99788	CMKLR1	CML1_HUMAN	classA
P41143	OPRD1	OPRD_HUMAN	classA
Q9H1C0	LPAR5	LPAR5_HUMAN	classA
Q9Y5Y3	GPR45	GPR45_HUMAN	classA
P32302	CXCR5	CXCR5_HUMAN	classA
Q6W5P4	NPSR1	NPSR1_HUMAN	classA
P30518	AVPR2	V2R_HUMAN	classA
Q99677	LPAR4	LPAR4_HUMAN	classA
P49683	PRLHR	PRLHR_HUMAN	classA
P41146	OPRL1	OPRX_HUMAN	classA
P60893	GPR85	GPR85_HUMAN	classA
P30874	SSTR2	SSR2_HUMAN	classA
P51686	CCR9	CCR9_HUMAN	classA
O60755	GALR3	GALR3_HUMAN	classA
P49682	CXCR3	CXCR3_HUMAN	classA
Q9BZJ7	GPR62	GPR62_HUMAN	classA
Q13304	GPR17	GPR17_HUMAN	classA
P30939	HTR1F	5HT1F_HUMAN	classA
Q92847	GHSR	GHSR_HUMAN	classA
Q15743	GPR68	OGR1_HUMAN	classA
P28566	HTR1E	5HT1E_HUMAN	classA
P51582	P2RY4	P2RY4_HUMAN	classA
P35346	SSTR5	SSR5_HUMAN	classA
P04000	OPN1LW	OPSR_HUMAN	classA
Q92633	LPAR1	LPAR1_HUMAN	classA
P04001	OPN1MW	OPSG_HUMAN	classA
Q8TDS4	HCAR2	HCAR2_HUMAN	classA
Q96P69	GPR78	GPR78_HUMAN	classA
P50052	AGTR2	AGTR2_HUMAN	classA
P49286	MTNR1B	MTR1B_HUMAN	classA
P46093	GPR4	GPR4_HUMAN	classA
P46095	GPR6	GPR6_HUMAN	classA
P46092	CCR10	CCR10_HUMAN	classA
P25106	ACKR3	ACKR3_HUMAN	classA
Q9Y2T5	GPR52	GPR52_HUMAN	classA
P32249	GPR183	GP183_HUMAN	classA
O00155	GPR25	GPR25_HUMAN	classA
Q5NUL3	FFAR4	FFAR4_HUMAN	classA
P49685	GPR15	GPR15_HUMAN	classA
P51679	CCR4	CCR4_HUMAN	classA
P34972	CNR2	CNR2_HUMAN	classA
P25025	CXCR2	CXCR2_HUMAN	classA
Q13258	PTGDR	PD2R_HUMAN	classA
Q86VZ1	P2RY8	P2RY8_HUMAN	classA
P25021	HRH2	HRH2_HUMAN	classA
P30556	AGTR1	AGTR1_HUMAN	classA
P43088	PTGFR	PF2R_HUMAN	classA
Q9NPC1	LTB4R2	LT4R2_HUMAN	classA
Q9BY21	GPR87	GPR87_HUMAN	classA
Q99678	GPR20	GPR20_HUMAN	classA
P43116	PTGER2	PE2R2_HUMAN	classA
P47898	HTR5A	5HT5A_HUMAN	classA
O75388	GPR32	GPR32_HUMAN	classA
P49238	CX3CR1	CX3C1_HUMAN	classA
P51677	CCR3	CCR3_HUMAN	classA
P32246	CCR1	CCR1_HUMAN	classA
P46091	CMKLR2	CML2_HUMAN	classA
P51685	CCR8	CCR8_HUMAN	classA
Q9BPV8	P2RY13	P2Y13_HUMAN	classA
Q6U736	OPN5	OPN5_HUMAN	classA
Q9UBY5	LPAR3	LPAR3_HUMAN	classA
Q6DWJ6	GPR139	GP139_HUMAN	classA
P46663	BDKRB1	BKRB1_HUMAN	classA
P25089	FPR3	FPR3_HUMAN	classA
O95136	S1PR2	S1PR2_HUMAN	classA
Q15722	LTB4R	LT4R1_HUMAN	classA
P51681	CCR5	CCR5_HUMAN	classA
P61073	CXCR4	CXCR4_HUMAN	classA
Q9P1P5	TAAR2	TAAR2_HUMAN	classA
Q9HBW0	LPAR2	LPAR2_HUMAN	classA
P25090	FPR2	FPR2_HUMAN	classA
P48039	MTNR1A	MTR1A_HUMAN	classA
